date,alert_status,blocker_violations,branch_coverage,bugs,classes,code_smells,cognitive_complexity,comment_lines,comment_lines_density,complexity,confirmed_issues,coverage,development_cost,duplicated_blocks,duplicated_files,duplicated_lines,duplicated_lines_density,effort_to_reach_maintainability_rating_a,false_positive_issues,files,functions,info_violations,line_coverage,lines_to_cover,major_violations,minor_violations,ncloc,ncloc_language_distribution,new_development_cost,new_sqale_debt_ratio,open_issues,quality_gate_details,quality_profiles,reliability_rating,reliability_remediation_effort,reopened_issues,security_hotspots,security_hotspots_reviewed,security_rating,security_remediation_effort,security_review_rating,sqale_debt_ratio,sqale_index,sqale_rating,statements,violations
2020-12-07T20:41:27+0100,0,0,0,2,0,41,58,54,2,172,0,0,73860,6,6,240,9,0,0,39,139,0,0,0,2,41,2462,0,0,0,43,0,0,3,10,0,0,100,1,0,1,0,103,1,223,43
2020-12-10T02:08:23+0100,0,0,0,2,0,41,87,53,1,288,0,0,106170,8,8,358,8,0,0,46,234,0,0,0,2,41,3539,0,33600,0,43,0,0,3,10,0,0,100,1,0,1,0,103,1,365,43
2020-12-13T01:46:37+0100,0,0,0,2,0,74,90,50,1,316,0,0,117120,8,8,358,7,0,0,51,259,0,0,0,21,42,3904,0,45750,0,76,0,0,3,10,0,0,100,1,0,1,0,430,1,395,76
2020-12-15T02:48:44+0100,0,0,53,0,0,32,98,57,1,436,0,10,147840,10,8,396,7,0,1,58,372,0,9,541,9,7,4928,0,94200,0,32,0,0,1,0,0,0,100,1,0,1,0,310,1,460,32
